Datum;Tag;PaNr;Rohr;Blickrichtung;Tiefe;TK;Bonitur;WLD berech.;PaNr;BLOCK;FRUFOL;KULTUR1;KULTUR2;BOBE;N-Due
15.04.1997;105;63;a;rechts;100;105;0;0;63;3;Gemüse;Weizen;Spinat;Pflug;Offizialempf.
15.04.1997;105;63;a;rechts;105;105;0;0;63;3;Gemüse;Weizen;Spinat;Pflug;Offizialempf.
15.04.1997;105;63;a;rechts;110;120;0;0;63;3;Gemüse;Weizen;Spinat;Pflug;Offizialempf.
15.04.1997;105;63;a;rechts;115;120;0;0;63;3;Gemüse;Weizen;Spinat;Pflug;Offizialempf.
15.04.1997;105;63;a;rechts;120;120;0;0;63;3;Gemüse;Weizen;Spinat;Pflug;Offizialempf.
15.04.1997;105;63;b;links;5;15;0;0;63;3;Gemüse;Weizen;Spinat;Pflug;Offizialempf.
15.04.1997;105;63;b;links;10;15;0;0;63;3;Gemüse;Weizen;Spinat;Pflug;Offizialempf.
15.04.1997;105;63;b;links;15;15;0;0;63;3;Gemüse;Weizen;Spinat;Pflug;Offizialempf.
15.04.1997;105;63;b;links;20;30;0;0;63;3;Gemüse;Weizen;Spinat;Pflug;Offizialempf.
15.04.1997;105;63;b;links;25;30;0;0;63;3;Gemüse;Weizen;Spinat;Pflug;Offizialempf.
15.04.1997;105;63;b;links;30;30;0;0;63;3;Gemüse;Weizen;Spinat;Pflug;Offizialempf.
15.04.1997;105;63;b;links;35;45;0;0;63;3;Gemüse;Weizen;Spinat;Pflug;Offizialempf.
15.04.1997;105;63;b;links;40;45;0;0;63;3;Gemüse;Weizen;Spinat;Pflug;Offizialempf.
15.04.1997;105;63;b;links;45;45;0;0;63;3;Gemüse;Weizen;Spinat;Pflug;Offizialempf.
15.04.1997;105;63;b;links;50;60;0;0;63;3;Gemüse;Weizen;Spinat;Pflug;Offizialempf.
15.04.1997;105;63;b;links;55;60;0;0;63;3;Gemüse;Weizen;Spinat;Pflug;Offizialempf.
15.04.1997;105;63;b;links;60;60;0;0;63;3;Gemüse;Weizen;Spinat;Pflug;Offizialempf.
15.04.1997;105;63;b;links;65;75;0;0;63;3;Gemüse;Weizen;Spinat;Pflug;Offizialempf.
15.04.1997;105;63;b;links;70;75;0;0;63;3;Gemüse;Weizen;Spinat;Pflug;Offizialempf.
15.04.1997;105;63;b;links;75;75;0;0;63;3;Gemüse;Weizen;Spinat;Pflug;Offizialempf.
15.04.1997;105;63;b;links;80;90;0;0;63;3;Gemüse;Weizen;Spinat;Pflug;Offizialempf.
15.04.1997;105;63;b;links;85;90;0;0;63;3;Gemüse;Weizen;Spinat;Pflug;Offizialempf.
15.04.1997;105;63;b;links;90;90;0;0;63;3;Gemüse;Weizen;Spinat;Pflug;Offizialempf.
15.04.1997;105;63;b;links;95;105;0;0;63;3;Gemüse;Weizen;Spinat;Pflug;Offizialempf.
15.04.1997;105;63;b;links;100;105;0;0;63;3;Gemüse;Weizen;Spinat;Pflug;Offizialempf.
15.04.1997;105;63;b;links;105;105;0;0;63;3;Gemüse;Weizen;Spinat;Pflug;Offizialempf.
15.04.1997;105;63;b;links;110;120;0;0;63;3;Gemüse;Weizen;Spinat;Pflug;Offizialempf.
15.04.1997;105;63;b;links;115;120;0;0;63;3;Gemüse;Weizen;Spinat;Pflug;Offizialempf.
15.04.1997;105;63;b;links;120;120;0;0;63;3;Gemüse;Weizen;Spinat;Pflug;Offizialempf.
15.04.1997;105;63;b;rechts;5;15;0;0;63;3;Gemüse;Weizen;Spinat;Pflug;Offizialempf.
15.04.1997;105;63;b;rechts;10;15;0;0;63;3;Gemüse;Weizen;Spinat;Pflug;Offizialempf.
15.04.1997;105;63;b;rechts;15;15;0;0;63;3;Gemüse;Weizen;Spinat;Pflug;Offizialempf.
15.04.1997;105;63;b;rechts;20;30;0;0;63;3;Gemüse;Weizen;Spinat;Pflug;Offizialempf.
15.04.1997;105;63;b;rechts;25;30;0;0;63;3;Gemüse;Weizen;Spinat;Pflug;Offizialempf.
15.04.1997;105;63;b;rechts;30;30;0;0;63;3;Gemüse;Weizen;Spinat;Pflug;Offizialempf.
15.04.1997;105;63;b;rechts;35;45;0;0;63;3;Gemüse;Weizen;Spinat;Pflug;Offizialempf.
15.04.1997;105;63;b;rechts;40;45;0;0;63;3;Gemüse;Weizen;Spinat;Pflug;Offizialempf.
15.04.1997;105;63;b;rechts;45;45;0;0;63;3;Gemüse;Weizen;Spinat;Pflug;Offizialempf.
15.04.1997;105;63;b;rechts;50;60;0;0;63;3;Gemüse;Weizen;Spinat;Pflug;Offizialempf.
15.04.1997;105;63;b;rechts;55;60;0;0;63;3;Gemüse;Weizen;Spinat;Pflug;Offizialempf.
15.04.1997;105;63;b;rechts;60;60;0;0;63;3;Gemüse;Weizen;Spinat;Pflug;Offizialempf.
15.04.1997;105;63;b;rechts;65;75;0;0;63;3;Gemüse;Weizen;Spinat;Pflug;Offizialempf.
15.04.1997;105;63;b;rechts;70;75;0;0;63;3;Gemüse;Weizen;Spinat;Pflug;Offizialempf.
15.04.1997;105;63;b;rechts;75;75;0;0;63;3;Gemüse;Weizen;Spinat;Pflug;Offizialempf.
15.04.1997;105;63;b;rechts;80;90;0;0;63;3;Gemüse;Weizen;Spinat;Pflug;Offizialempf.
15.04.1997;105;63;b;rechts;85;90;0;0;63;3;Gemüse;Weizen;Spinat;Pflug;Offizialempf.
15.04.1997;105;63;b;rechts;90;90;0;0;63;3;Gemüse;Weizen;Spinat;Pflug;Offizialempf.
15.04.1997;105;63;b;rechts;95;105;0;0;63;3;Gemüse;Weizen;Spinat;Pflug;Offizialempf.
15.04.1997;105;63;b;rechts;100;105;0;0;63;3;Gemüse;Weizen;Spinat;Pflug;Offizialempf.
15.04.1997;105;63;b;rechts;105;105;0;0;63;3;Gemüse;Weizen;Spinat;Pflug;Offizialempf.
15.04.1997;105;63;b;rechts;110;120;0;0;63;3;Gemüse;Weizen;Spinat;Pflug;Offizialempf.
15.04.1997;105;63;b;rechts;115;120;0;0;63;3;Gemüse;Weizen;Spinat;Pflug;Offizialempf.
15.04.1997;105;63;b;rechts;120;120;0;0;63;3;Gemüse;Weizen;Spinat;Pflug;Offizialempf.
15.04.1997;105;59;a;links;5;15;0;0;59;3;Agrar;Weizen;Senf;Pflug;Off.--50%
15.04.1997;105;59;a;links;10;15;0;0;59;3;Agrar;Weizen;Senf;Pflug;Off.--50%
15.04.1997;105;59;a;links;15;15;0;0;59;3;Agrar;Weizen;Senf;Pflug;Off.--50%
15.04.1997;105;59;a;links;20;30;0.5;0.4047;59;3;Agrar;Weizen;Senf;Pflug;Off.--50%
15.04.1997;105;59;a;links;25;30;0;0;59;3;Agrar;Weizen;Senf;Pflug;Off.--50%
15.04.1997;105;59;a;links;30;30;0;0;59;3;Agrar;Weizen;Senf;Pflug;Off.--50%
15.04.1997;105;59;a;links;35;45;0;0;59;3;Agrar;Weizen;Senf;Pflug;Off.--50%
